,GROUP_SET,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING
0,On/Off Court,BKN,Brooklyn Nets,"Bates-Diop, Keita",Off,31,1430.0,-4.7,109.1,113.8,-4.7
1,On/Off Court,BKN,Brooklyn Nets,"Bridges, Mikal",Off,82,1107.0,-2.3,110.9,113.4,-2.5
2,On/Off Court,BKN,Brooklyn Nets,"Brooks, Armoni",Off,36,1629.0,-2.4,114.7,117.0,-2.4
3,On/Off Court,BKN,Brooklyn Nets,"Claxton, Nic",Off,82,1845.0,1.1,113.8,112.3,1.4
4,On/Off Court,BKN,Brooklyn Nets,"Clowney, Noah",Off,82,3591.0,-2.4,112.8,115.5,-2.7
5,On/Off Court,BKN,Brooklyn Nets,"Dinwiddie, Spencer",Off,50,941.0,-1.8,112.0,112.9,-0.9
6,On/Off Court,BKN,Brooklyn Nets,"Finney-Smith, Dorian",Off,82,2026.0,-3.1,110.9,114.6,-3.7
7,On/Off Court,BKN,Brooklyn Nets,"Giles III, Harry",Off,50,2334.0,-1.1,114.6,115.9,-1.3
8,On/Off Court,BKN,Brooklyn Nets,"Gilyard, Jacob",Off,23,1069.0,-3.6,110.1,113.8,-3.8
9,On/Off Court,BKN,Brooklyn Nets,"Johnson, Cameron",Off,82,2362.0,-3.3,110.9,113.5,-2.6
10,On/Off Court,BKN,Brooklyn Nets,"Johnson, Keon",Off,79,3756.0,-2.8,112.1,114.9,-2.8
11,On/Off Court,BKN,Brooklyn Nets,"Martin, Jaylen",Off,28,1354.0,-4.0,108.3,112.4,-4.1
12,On/Off Court,BKN,Brooklyn Nets,"O'Neale, Royce",Off,51,1261.0,-2.4,114.7,116.6,-1.9
13,On/Off Court,BKN,Brooklyn Nets,"Schroder, Dennis",Off,32,619.0,-6.1,105.1,110.1,-5.1
14,On/Off Court,BKN,Brooklyn Nets,"Sharpe, Day'Ron",Off,82,3040.0,-4.8,110.9,115.7,-4.8
15,On/Off Court,BKN,Brooklyn Nets,"Simmons, Ben",Off,82,3602.0,-2.7,112.4,115.2,-2.8
16,On/Off Court,BKN,Brooklyn Nets,"Smith Jr., Dennis",Off,82,2902.0,-3.3,112.1,115.7,-3.6
17,On/Off Court,BKN,Brooklyn Nets,"Thomas, Cam",Off,82,1886.0,-0.9,110.3,110.4,-0.1
18,On/Off Court,BKN,Brooklyn Nets,"Walker IV, Lonnie",Off,82,2950.0,-3.9,111.4,115.4,-4.0
19,On/Off Court,BKN,Brooklyn Nets,"Watford, Trendon",Off,82,3104.0,-2.5,112.4,115.2,-2.8
20,On/Off Court,BKN,Brooklyn Nets,"Whitehead, Dariq",Off,82,3937.0,-2.6,112.4,115.1,-2.7
21,On/Off Court,BKN,Brooklyn Nets,"Wilson, Jalen",Off,82,3296.0,-3.4,111.7,115.3,-3.6
22,On/Off Court,BKN,Brooklyn Nets,"Young, Thaddeus",Off,1,48.0,-23.0,97.9,121.6,-23.7
