,GROUP_SET,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING
0,On/Off Court,CHI,Chicago Bulls,"Ball, Lonzo",Off,82,3996.0,-1.4,114.0,115.7,-1.7
1,On/Off Court,CHI,Chicago Bulls,"Bitim, Onuralp",Off,82,3728.0,-0.9,114.2,115.4,-1.2
2,On/Off Court,CHI,Chicago Bulls,"Carter, Jevon",Off,82,2992.0,-2.3,114.2,116.7,-2.5
3,On/Off Court,CHI,Chicago Bulls,"Caruso, Alex",Off,82,1956.0,-3.0,113.8,117.0,-3.2
4,On/Off Court,CHI,Chicago Bulls,"Craig, Torrey",Off,82,2947.0,1.0,113.8,113.0,0.8
5,On/Off Court,CHI,Chicago Bulls,"DeRozan, DeMar",Off,82,1007.0,-2.7,107.8,110.6,-2.8
6,On/Off Court,CHI,Chicago Bulls,"Dosunmu, Ayo",Off,82,1784.0,1.1,113.7,112.8,0.9
7,On/Off Court,CHI,Chicago Bulls,"Drell, Henri",Off,56,2698.0,-0.5,115.0,115.6,-0.7
8,On/Off Court,CHI,Chicago Bulls,"Drummond, Andre",Off,82,2645.0,-2.6,111.9,114.6,-2.6
9,On/Off Court,CHI,Chicago Bulls,"Funk, Andrew",Off,26,1255.0,-1.6,114.9,116.8,-1.9
10,On/Off Court,CHI,Chicago Bulls,"Green, Javonte",Off,12,351.0,-4.2,113.4,118.0,-4.6
11,On/Off Court,CHI,Chicago Bulls,"LaVine, Zach",Off,82,3124.0,-0.4,114.6,115.2,-0.6
12,On/Off Court,CHI,Chicago Bulls,"Lewis, Justin",Off,26,1268.0,-3.7,111.6,115.7,-4.1
13,On/Off Court,CHI,Chicago Bulls,"Phillips, Julian",Off,82,3673.0,-1.5,113.8,115.4,-1.6
14,On/Off Court,CHI,Chicago Bulls,"Sanogo, Adama",Off,82,3930.0,-1.9,113.9,115.9,-2.1
15,On/Off Court,CHI,Chicago Bulls,"Taylor, Terry",Off,76,3515.0,-1.9,113.9,115.9,-2.0
16,On/Off Court,CHI,Chicago Bulls,"Terry, Dalen",Off,82,3315.0,-2.2,113.3,115.7,-2.4
17,On/Off Court,CHI,Chicago Bulls,"Vucevic, Nikola",Off,82,1386.0,2.1,113.5,111.3,2.2
18,On/Off Court,CHI,Chicago Bulls,"White, Coby",Off,82,1115.0,-3.6,106.0,109.3,-3.3
19,On/Off Court,CHI,Chicago Bulls,"Williams, Patrick",Off,82,2822.0,-1.8,112.7,114.4,-1.7
