,GROUP_SET,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING
0,On/Off Court,CLE,Cleveland Cavaliers,"Allen, Jarrett",Off,82,1519.0,-0.1,109.7,110.4,-0.8
1,On/Off Court,CLE,Cleveland Cavaliers,"Bates, Emoni",Off,82,3828.0,3.5,115.4,111.6,3.7
2,On/Off Court,CLE,Cleveland Cavaliers,"Cooper, Sharife",Off,6,298.0,-2.6,110.4,113.1,-2.7
3,On/Off Court,CLE,Cleveland Cavaliers,"Garland, Darius",Off,82,2061.0,2.0,112.9,110.5,2.4
4,On/Off Court,CLE,Cleveland Cavaliers,"Jerome, Ty",Off,82,3946.0,2.6,114.7,112.0,2.7
5,On/Off Court,CLE,Cleveland Cavaliers,"Jones, Damian",Off,82,3691.0,3.8,115.8,111.8,4.0
6,On/Off Court,CLE,Cleveland Cavaliers,"LeVert, Caris",Off,82,2003.0,1.9,112.5,110.8,1.7
7,On/Off Court,CLE,Cleveland Cavaliers,"Merrill, Sam",Off,82,2892.0,2.8,115.0,111.4,3.6
8,On/Off Court,CLE,Cleveland Cavaliers,"Mitchell, Donovan",Off,82,2018.0,-3.0,111.6,113.6,-2.0
9,On/Off Court,CLE,Cleveland Cavaliers,"Mobley, Evan",Off,82,2429.0,3.3,114.8,111.3,3.5
10,On/Off Court,CLE,Cleveland Cavaliers,"Mobley, Isaiah",Off,82,3889.0,2.8,115.0,112.0,3.0
11,On/Off Court,CLE,Cleveland Cavaliers,"Morris Sr., Marcus",Off,15,540.0,-2.0,116.1,117.7,-1.6
12,On/Off Court,CLE,Cleveland Cavaliers,"Nance, Pete",Off,33,1572.0,-0.9,113.4,114.4,-0.9
13,On/Off Court,CLE,Cleveland Cavaliers,"Niang, Georges",Off,82,2130.0,3.8,111.8,108.0,3.8
14,On/Off Court,CLE,Cleveland Cavaliers,"Okoro, Isaac",Off,82,2074.0,3.7,113.2,110.9,2.3
15,On/Off Court,CLE,Cleveland Cavaliers,"Porter Jr., Craig",Off,82,3312.0,3.2,114.6,111.3,3.4
16,On/Off Court,CLE,Cleveland Cavaliers,"Rubio, Ricky",Off,35,1690.0,1.7,114.2,112.4,1.9
17,On/Off Court,CLE,Cleveland Cavaliers,"Smith, Zhaire",Off,3,144.0,-2.0,119.0,121.1,-2.1
18,On/Off Court,CLE,Cleveland Cavaliers,"Strus, Max",Off,82,1722.0,-1.6,110.6,112.2,-1.6
19,On/Off Court,CLE,Cleveland Cavaliers,"Thompson, Tristan",Off,82,3412.0,3.0,114.1,111.1,3.0
20,On/Off Court,CLE,Cleveland Cavaliers,"Wade, Dean",Off,82,2853.0,0.4,113.9,114.0,-0.1
