,GROUP_SET,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING
0,On/Off Court,DAL,Dallas Mavericks,"Brown III, Greg",Off,82,3901.0,2.3,117.1,114.9,2.2
1,On/Off Court,DAL,Dallas Mavericks,"Curry, Seth",Off,52,2039.0,-1.7,117.8,119.3,-1.6
2,On/Off Court,DAL,Dallas Mavericks,"Dennis, Dexter",Off,31,1458.0,1.7,118.5,116.8,1.7
3,On/Off Court,DAL,Dallas Mavericks,"Doncic, Luka",Off,82,1317.0,-5.0,109.1,113.4,-4.3
4,On/Off Court,DAL,Dallas Mavericks,"Exum, Dante",Off,82,2853.0,-1.0,114.1,114.8,-0.7
5,On/Off Court,DAL,Dallas Mavericks,"Fudge, Alex",Off,21,987.0,7.6,115.6,108.1,7.5
6,On/Off Court,DAL,Dallas Mavericks,"Gafford, Daniel",Off,30,822.0,4.9,114.0,109.1,4.9
7,On/Off Court,DAL,Dallas Mavericks,"Green, Josh",Off,82,2436.0,5.5,115.7,110.6,5.1
8,On/Off Court,DAL,Dallas Mavericks,"Hardaway Jr., Tim",Off,82,1821.0,4.4,115.3,110.7,4.6
9,On/Off Court,DAL,Dallas Mavericks,"Hardy, Jaden",Off,82,2952.0,5.0,118.8,113.8,5.0
10,On/Off Court,DAL,Dallas Mavericks,"Holmes, Richaun",Off,52,2259.0,1.0,118.7,117.5,1.2
11,On/Off Court,DAL,Dallas Mavericks,"Irving, Kyrie",Off,82,1911.0,-2.4,111.9,114.3,-2.3
12,On/Off Court,DAL,Dallas Mavericks,"Jones Jr., Derrick",Off,82,2158.0,2.8,116.8,114.3,2.4
13,On/Off Court,DAL,Dallas Mavericks,"Kleber, Maxi",Off,82,3070.0,0.9,115.9,115.2,0.7
14,On/Off Court,DAL,Dallas Mavericks,"Lawson, A.J.",Off,82,3630.0,2.2,117.5,115.5,2.0
15,On/Off Court,DAL,Dallas Mavericks,"Lively II, Dereck",Off,82,2647.0,0.7,113.8,112.9,0.8
16,On/Off Court,DAL,Dallas Mavericks,"Morris, Markieff",Off,82,3725.0,3.1,117.8,114.7,3.1
17,On/Off Court,DAL,Dallas Mavericks,"Powell, Dwight",Off,82,3105.0,2.8,116.6,114.0,2.6
18,On/Off Court,DAL,Dallas Mavericks,"Prosper, Olivier-Maxence",Off,82,3605.0,3.6,118.2,114.8,3.4
19,On/Off Court,DAL,Dallas Mavericks,"Washington, P.J.",Off,30,510.0,1.2,110.2,111.0,-0.7
20,On/Off Court,DAL,Dallas Mavericks,"Williams, Brandon",Off,51,2340.0,4.0,117.5,113.8,3.7
21,On/Off Court,DAL,Dallas Mavericks,"Williams, Grant",Off,52,1254.0,4.9,118.4,114.5,3.9
