,GROUP_SET,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING
0,On/Off Court,DEN,Denver Nuggets,"Braun, Christian",Off,82,2285.0,9.3,120.8,112.2,8.6
1,On/Off Court,DEN,Denver Nuggets,"Caldwell-Pope, Kentavious",Off,82,1539.0,-4.4,107.8,111.8,-4.0
2,On/Off Court,DEN,Denver Nuggets,"Cancar, Vlatko",Off,82,3941.0,5.2,117.8,112.3,5.5
3,On/Off Court,DEN,Denver Nuggets,"Gillespie, Collin",Off,82,3716.0,5.4,117.9,112.3,5.5
4,On/Off Court,DEN,Denver Nuggets,"Gordon, Aaron",Off,82,1644.0,0.2,112.0,111.2,0.9
5,On/Off Court,DEN,Denver Nuggets,"Holiday, Justin",Off,82,3079.0,5.9,118.1,112.3,5.8
6,On/Off Court,DEN,Denver Nuggets,"Huff, Jay",Off,82,3892.0,5.4,118.1,112.4,5.6
7,On/Off Court,DEN,Denver Nuggets,"Jackson, Reggie",Off,82,2124.0,8.0,118.8,110.7,8.2
8,On/Off Court,DEN,Denver Nuggets,"Jokic, Nikola",Off,82,1204.0,-10.0,104.1,112.8,-8.6
9,On/Off Court,DEN,Denver Nuggets,"Jordan, DeAndre",Off,82,3545.0,7.0,118.7,111.6,7.2
10,On/Off Court,DEN,Denver Nuggets,"Key, Braxton",Off,82,3881.0,5.5,118.1,112.4,5.7
11,On/Off Court,DEN,Denver Nuggets,"Murray, Jamal",Off,82,2080.0,2.8,112.9,109.8,3.0
12,On/Off Court,DEN,Denver Nuggets,"Nnaji, Zeke",Off,82,3365.0,8.5,119.7,111.2,8.6
13,On/Off Court,DEN,Denver Nuggets,"Pickett, Jalen",Off,82,3819.0,5.4,118.1,112.4,5.7
14,On/Off Court,DEN,Denver Nuggets,"Porter Jr., Michael",Off,82,1376.0,-1.4,108.6,108.8,-0.3
15,On/Off Court,DEN,Denver Nuggets,"Strawther, Julian",Off,82,3396.0,7.5,119.1,111.3,7.7
16,On/Off Court,DEN,Denver Nuggets,"Tyson, Hunter",Off,82,3893.0,5.2,117.9,112.4,5.5
17,On/Off Court,DEN,Denver Nuggets,"Watson, Peyton",Off,82,2453.0,9.8,120.7,111.8,8.9
