,GROUP_SET,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING
0,On/Off Court,DET,Detroit Pistons,"Arcidiacono, Ryan",Off,1,53.0,5.4,121.9,115.1,6.8
1,On/Off Court,DET,Detroit Pistons,"Bagley III, Marvin",Off,39,1404.0,-12.7,107.7,119.8,-12.1
2,On/Off Court,DET,Detroit Pistons,"Boeheim, Buddy",Off,27,1212.0,-10.3,104.1,114.5,-10.5
3,On/Off Court,DET,Detroit Pistons,"Bogdanovic, Bojan",Off,50,1489.0,-6.8,109.6,116.3,-6.6
4,On/Off Court,DET,Detroit Pistons,"Brown Jr., Troy",Off,31,1071.0,-7.3,104.7,112.1,-7.4
5,On/Off Court,DET,Detroit Pistons,"Burks, Alec",Off,50,1509.0,-8.8,110.9,119.3,-8.4
6,On/Off Court,DET,Detroit Pistons,"Cazalon, Malcolm",Off,54,2604.0,-9.2,110.8,119.8,-9.0
7,On/Off Court,DET,Detroit Pistons,"Cunningham, Cade",Off,82,1877.0,-10.2,106.2,116.4,-10.2
8,On/Off Court,DET,Detroit Pistons,"Duren, Jalen",Off,82,2174.0,-9.6,107.5,117.1,-9.6
9,On/Off Court,DET,Detroit Pistons,"Evbuomwan, Tosan",Off,30,1147.0,-7.7,104.6,112.2,-7.7
10,On/Off Court,DET,Detroit Pistons,"Flynn, Malachi",Off,32,1199.0,-7.0,105.1,112.0,-6.9
11,On/Off Court,DET,Detroit Pistons,"Fontecchio, Simone",Off,32,1057.0,-11.3,104.1,115.6,-11.4
12,On/Off Court,DET,Detroit Pistons,"Fournier, Evan",Off,32,1000.0,-7.4,107.6,115.1,-7.5
13,On/Off Court,DET,Detroit Pistons,"Gallinari, Danilo",Off,12,491.0,-3.7,116.6,119.3,-2.7
14,On/Off Court,DET,Detroit Pistons,"Gibson, Taj",Off,21,969.0,-9.9,104.1,114.5,-10.4
15,On/Off Court,DET,Detroit Pistons,"Grimes, Quentin",Off,32,1426.0,-8.1,105.6,113.9,-8.3
16,On/Off Court,DET,Detroit Pistons,"Harris, Joe",Off,50,2240.0,-8.9,111.5,120.1,-8.6
17,On/Off Court,DET,Detroit Pistons,"Hayes, Killian",Off,50,1402.0,-7.5,113.2,120.4,-7.2
18,On/Off Court,DET,Detroit Pistons,"Ivey, Jaden",Off,82,1734.0,-11.0,104.7,115.6,-10.9
19,On/Off Court,DET,Detroit Pistons,"Knox II, Kevin",Off,42,1466.0,-11.5,111.7,122.7,-11.0
20,On/Off Court,DET,Detroit Pistons,"Livers, Isaiah",Off,39,1413.0,-8.4,109.5,117.6,-8.1
21,On/Off Court,DET,Detroit Pistons,"Metu, Chimezie",Off,14,261.0,-19.5,101.1,121.3,-20.2
22,On/Off Court,DET,Detroit Pistons,"Milton, Shake",Off,8,321.0,-4.2,108.4,111.8,-3.4
23,On/Off Court,DET,Detroit Pistons,"Morris, Monte",Off,51,2395.0,-9.1,111.7,120.7,-9.0
24,On/Off Court,DET,Detroit Pistons,"Muscala, Mike",Off,19,746.0,-6.6,112.2,118.5,-6.3
25,On/Off Court,DET,Detroit Pistons,"Nowell, Jaylen",Off,7,278.0,-9.5,104.8,114.7,-9.9
26,On/Off Court,DET,Detroit Pistons,"Rhoden, Jared",Off,82,3706.0,-9.2,109.0,117.9,-8.9
27,On/Off Court,DET,Detroit Pistons,"Sasser, Marcus",Off,82,2600.0,-9.2,108.7,117.7,-9.0
28,On/Off Court,DET,Detroit Pistons,"Stewart, Isaiah",Off,82,2528.0,-11.7,107.1,118.8,-11.7
29,On/Off Court,DET,Detroit Pistons,"Thompson, Ausar",Off,82,2368.0,-10.5,108.1,119.0,-10.9
30,On/Off Court,DET,Detroit Pistons,"Umude, Stanley",Off,82,3644.0,-8.9,109.1,117.9,-8.9
31,On/Off Court,DET,Detroit Pistons,"Wiseman, James",Off,82,2860.0,-7.1,109.9,116.4,-6.5
