,GROUP_SET,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING
0,On/Off Court,GSW,Golden State Warriors,"Curry, Stephen",Off,82,1544.0,0.8,112.5,111.2,1.4
1,On/Off Court,GSW,Golden State Warriors,"Garuba, Usman",Off,82,3948.0,2.7,117.1,114.4,2.6
2,On/Off Court,GSW,Golden State Warriors,"Green, Draymond",Off,82,2476.0,0.8,115.7,115.5,0.2
3,On/Off Court,GSW,Golden State Warriors,"Jackson-Davis, Trayce",Off,82,2836.0,3.1,116.6,113.9,2.7
4,On/Off Court,GSW,Golden State Warriors,"Joseph, Cory",Off,48,2038.0,1.2,117.0,116.1,0.9
5,On/Off Court,GSW,Golden State Warriors,"Kuminga, Jonathan",Off,82,2016.0,2.1,115.2,114.2,1.0
6,On/Off Court,GSW,Golden State Warriors,"Looney, Kevon",Off,82,2772.0,3.0,115.7,113.2,2.5
7,On/Off Court,GSW,Golden State Warriors,"Moody, Moses",Off,82,2810.0,2.0,116.7,114.7,2.0
8,On/Off Court,GSW,Golden State Warriors,"Paul, Chris",Off,82,2435.0,2.1,116.8,115.0,1.8
9,On/Off Court,GSW,Golden State Warriors,"Payton II, Gary",Off,82,3286.0,1.9,115.9,114.5,1.4
10,On/Off Court,GSW,Golden State Warriors,"Podziemski, Brandin",Off,82,1998.0,-1.2,112.7,114.6,-1.9
11,On/Off Court,GSW,Golden State Warriors,"Quinones, Lester",Off,82,3572.0,2.6,117.2,114.8,2.4
12,On/Off Court,GSW,Golden State Warriors,"Robinson, Jerome",Off,82,3885.0,2.3,116.9,114.9,2.1
13,On/Off Court,GSW,Golden State Warriors,"Santos, Gui",Off,74,3390.0,2.2,117.0,115.0,2.0
14,On/Off Court,GSW,Golden State Warriors,"Saric, Dario",Off,82,2868.0,3.9,116.6,112.9,3.8
15,On/Off Court,GSW,Golden State Warriors,"Spencer, Pat",Off,29,1366.0,4.8,115.3,110.5,4.7
16,On/Off Court,GSW,Golden State Warriors,"Thompson, Klay",Off,82,1682.0,5.9,114.4,108.8,5.6
17,On/Off Court,GSW,Golden State Warriors,"Wiggins, Andrew",Off,82,2046.0,6.4,116.0,110.6,5.4
