,GROUP_SET,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING
0,On/Off Court,HOU,Houston Rockets,"Adams, Steven",Off,35,1690.0,1.3,114.1,113.3,0.8
1,On/Off Court,HOU,Houston Rockets,"Brooks, Dillon",Off,82,1744.0,3.1,111.6,108.6,3.0
2,On/Off Court,HOU,Houston Rockets,"Bullock Jr., Reggie",Off,82,3554.0,2.0,114.1,112.4,1.7
3,On/Off Court,HOU,Houston Rockets,"Eason, Tari",Off,82,3491.0,0.1,113.4,113.7,-0.3
4,On/Off Court,HOU,Houston Rockets,"Green, Jalen",Off,82,1370.0,2.1,109.3,106.1,3.1
5,On/Off Court,HOU,Houston Rockets,"Green, Jeff",Off,82,2664.0,3.0,113.9,111.2,2.7
6,On/Off Court,HOU,Houston Rockets,"Hinton, Nate",Off,82,3896.0,1.0,113.7,113.0,0.7
7,On/Off Court,HOU,Houston Rockets,"Holiday, Aaron",Off,82,2702.0,0.1,113.4,113.6,-0.2
8,On/Off Court,HOU,Houston Rockets,"Landale, Jock",Off,82,3208.0,-1.0,112.6,113.7,-1.1
9,On/Off Court,HOU,Houston Rockets,"Marjanovic, Boban",Off,82,3900.0,1.4,113.9,112.6,1.2
10,On/Off Court,HOU,Houston Rockets,"Oladipo, Victor",Off,47,2281.0,0.9,113.4,112.4,0.9
11,On/Off Court,HOU,Houston Rockets,"Samuels Jr., Jermaine",Off,82,3911.0,1.3,113.8,112.7,1.0
12,On/Off Court,HOU,Houston Rockets,"Sengun, Alperen",Off,82,1925.0,1.1,111.3,110.1,1.3
13,On/Off Court,HOU,Houston Rockets,"Smith Jr., Jabari",Off,82,1547.0,5.5,113.2,107.1,6.1
14,On/Off Court,HOU,Houston Rockets,"Tate, Jae'Sean",Off,82,2940.0,0.2,113.9,114.1,-0.2
15,On/Off Court,HOU,Houston Rockets,"Thompson, Amen",Off,82,2582.0,0.9,113.2,112.7,0.5
16,On/Off Court,HOU,Houston Rockets,"VanVleet, Fred",Off,82,1287.0,-3.4,108.1,111.3,-3.2
17,On/Off Court,HOU,Houston Rockets,"Whitmore, Cam",Off,82,3091.0,1.9,113.8,112.1,1.7
18,On/Off Court,HOU,Houston Rockets,"Williams, Nate",Off,82,3842.0,0.9,113.7,113.0,0.7
