,GROUP_SET,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING
0,On/Off Court,IND,Indiana Pacers,"Brown, Bruce",Off,40,939.0,0.3,116.3,116.7,-0.4
1,On/Off Court,IND,Indiana Pacers,"Brown, Kendall",Off,82,3878.0,3.4,121.1,117.8,3.3
2,On/Off Court,IND,Indiana Pacers,"Haliburton, Tyrese",Off,82,1717.0,-1.2,115.8,116.6,-0.8
3,On/Off Court,IND,Indiana Pacers,"Hield, Buddy",Off,53,1208.0,-0.7,116.5,117.0,-0.5
4,On/Off Court,IND,Indiana Pacers,"Jackson, Isaiah",Off,82,3170.0,3.3,121.3,117.7,3.5
5,On/Off Court,IND,Indiana Pacers,"Jackson, Quenton",Off,20,954.0,8.6,122.3,113.6,8.7
6,On/Off Court,IND,Indiana Pacers,"Johnson, James",Off,58,2742.0,3.5,119.7,116.5,3.2
7,On/Off Court,IND,Indiana Pacers,"Joseph, Cory",Off,1,48.0,-22.0,109.0,131.0,-22.0
8,On/Off Court,IND,Indiana Pacers,"Mathurin, Bennedict",Off,82,2403.0,6.8,122.4,115.3,7.0
9,On/Off Court,IND,Indiana Pacers,"McConnell, T.J.",Off,82,2650.0,2.8,119.6,116.8,2.7
10,On/Off Court,IND,Indiana Pacers,"McDermott, Doug",Off,29,1193.0,6.6,119.3,112.2,7.1
11,On/Off Court,IND,Indiana Pacers,"Nembhard, Andrew",Off,82,2244.0,4.0,121.7,118.1,3.6
12,On/Off Court,IND,Indiana Pacers,"Nesmith, Aaron",Off,82,1946.0,2.2,119.3,116.9,2.4
13,On/Off Court,IND,Indiana Pacers,"Nwora, Jordan",Off,40,1737.0,2.8,122.1,119.6,2.5
14,On/Off Court,IND,Indiana Pacers,"Sheppard, Ben",Off,82,3127.0,2.8,120.0,117.5,2.5
15,On/Off Court,IND,Indiana Pacers,"Siakam, Pascal",Off,42,718.0,4.0,115.8,111.9,3.9
16,On/Off Court,IND,Indiana Pacers,"Smith, Jalen",Off,82,2894.0,4.4,119.8,115.7,4.1
17,On/Off Court,IND,Indiana Pacers,"Theis, Daniel",Off,11,520.0,3.2,122.3,118.7,3.5
18,On/Off Court,IND,Indiana Pacers,"Toppin, Obi",Off,82,2210.0,2.4,118.2,115.2,3.0
19,On/Off Court,IND,Indiana Pacers,"Tshiebwe, Oscar",Off,82,3899.0,2.9,120.5,117.8,2.8
20,On/Off Court,IND,Indiana Pacers,"Turner, Myles",Off,82,1865.0,0.8,118.1,116.7,1.4
21,On/Off Court,IND,Indiana Pacers,"Walker, Jarace",Off,82,3601.0,3.1,120.6,117.6,3.0
22,On/Off Court,IND,Indiana Pacers,"Wong, Isaiah",Off,82,3937.0,3.1,120.6,117.6,3.0
