,GROUP_SET,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING
0,On/Off Court,LAC,LA Clippers,"Batum, Nicolas",Off,4,138.0,23.0,122.4,100.0,22.4
1,On/Off Court,LAC,LA Clippers,"Boston Jr., Brandon",Off,82,3596.0,5.1,119.3,114.1,5.1
2,On/Off Court,LAC,LA Clippers,"Brown, Kobe",Off,82,3547.0,4.9,119.0,114.2,4.8
3,On/Off Court,LAC,LA Clippers,"Coffey, Amir",Off,82,2480.0,7.0,118.4,111.3,7.2
4,On/Off Court,LAC,LA Clippers,"Covington, Robert",Off,4,123.0,8.2,113.5,107.3,6.3
5,On/Off Court,LAC,LA Clippers,"Diabate, Moussa",Off,82,3877.0,3.4,117.9,114.4,3.4
6,On/Off Court,LAC,LA Clippers,"George, Paul",Off,82,1439.0,-6.4,110.1,116.3,-6.1
7,On/Off Court,LAC,LA Clippers,"Harden, James",Off,78,1279.0,-3.3,109.8,112.8,-2.9
8,On/Off Court,LAC,LA Clippers,"Hyland, Bones",Off,82,3401.0,4.7,119.5,114.6,4.9
9,On/Off Court,LAC,LA Clippers,"Jones, Kai",Off,1,48.0,-11.0,98.1,108.4,-10.3
10,On/Off Court,LAC,LA Clippers,"Leonard, Kawhi",Off,82,1611.0,-3.7,114.1,117.9,-3.7
11,On/Off Court,LAC,LA Clippers,"Mann, Terance",Off,82,2068.0,5.0,116.9,112.0,4.9
12,On/Off Court,LAC,LA Clippers,"Martin, KJ",Off,4,161.0,20.9,122.8,102.6,20.2
13,On/Off Court,LAC,LA Clippers,"Miller, Jordan",Off,82,3913.0,3.5,118.0,114.5,3.5
14,On/Off Court,LAC,LA Clippers,"Moon, Xavier",Off,71,3289.0,4.2,119.7,115.4,4.3
15,On/Off Court,LAC,LA Clippers,"Morris Sr., Marcus",Off,4,192.0,16.5,118.4,102.2,16.2
16,On/Off Court,LAC,LA Clippers,"Plumlee, Mason",Off,82,3267.0,3.8,117.6,113.9,3.8
17,On/Off Court,LAC,LA Clippers,"Powell, Norman",Off,82,1951.0,1.4,115.7,113.9,1.8
18,On/Off Court,LAC,LA Clippers,"Primo, Joshua",Off,81,3883.0,3.5,118.3,114.7,3.6
19,On/Off Court,LAC,LA Clippers,"Theis, Daniel",Off,72,2450.0,3.8,118.5,114.5,4.0
20,On/Off Court,LAC,LA Clippers,"Tucker, P.J.",Off,78,3329.0,3.7,118.3,114.5,3.8
21,On/Off Court,LAC,LA Clippers,"Westbrook, Russell",Off,82,2412.0,3.3,117.3,113.9,3.3
22,On/Off Court,LAC,LA Clippers,"Zubac, Ivica",Off,82,2147.0,1.9,116.5,114.6,1.9
