,GROUP_SET,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING
0,On/Off Court,LAL,Los Angeles Lakers,"Castleton, Colin",Off,82,3912.0,1.1,115.8,114.7,1.1
1,On/Off Court,LAL,Los Angeles Lakers,"Christie, Max",Off,82,3027.0,1.0,116.3,115.3,0.9
2,On/Off Court,LAL,Los Angeles Lakers,"Davis, Anthony",Off,82,1271.0,-3.9,110.1,114.3,-4.2
3,On/Off Court,LAL,Los Angeles Lakers,"Dinwiddie, Spencer",Off,28,681.0,-0.6,111.9,112.9,-1.0
4,On/Off Court,LAL,Los Angeles Lakers,"Fudge, Alex",Off,36,1724.0,-0.7,112.2,113.1,-1.0
5,On/Off Court,LAL,Los Angeles Lakers,"Giles III, Harry",Off,20,951.0,5.8,118.8,112.9,5.9
6,On/Off Court,LAL,Los Angeles Lakers,"Hachimura, Rui",Off,82,2146.0,-1.7,112.4,114.0,-1.6
7,On/Off Court,LAL,Los Angeles Lakers,"Hayes, Jaxson",Off,82,3094.0,2.4,116.0,114.0,2.1
8,On/Off Court,LAL,Los Angeles Lakers,"Hodge, D'Moi",Off,36,1697.0,-0.3,112.2,112.9,-0.6
9,On/Off Court,LAL,Los Angeles Lakers,"Hood-Schifino, Jalen",Off,82,3862.0,1.3,116.1,114.8,1.3
10,On/Off Court,LAL,Los Angeles Lakers,"James, LeBron",Off,82,1467.0,-5.5,108.5,113.7,-5.2
11,On/Off Court,LAL,Los Angeles Lakers,"Lewis, Maxwell",Off,82,3868.0,1.5,116.4,114.9,1.5
12,On/Off Court,LAL,Los Angeles Lakers,"Mays, Skylar",Off,45,2108.0,2.3,118.7,116.5,2.2
13,On/Off Court,LAL,Los Angeles Lakers,"Prince, Taurean",Off,82,1863.0,4.3,113.9,110.4,3.5
14,On/Off Court,LAL,Los Angeles Lakers,"Reaves, Austin",Off,82,1342.0,3.2,112.5,109.5,3.0
15,On/Off Court,LAL,Los Angeles Lakers,"Reddish, Cam",Off,82,2987.0,1.6,116.2,114.6,1.6
16,On/Off Court,LAL,Los Angeles Lakers,"Russell, D'Angelo",Off,82,1487.0,-4.4,108.7,112.3,-3.6
17,On/Off Court,LAL,Los Angeles Lakers,"Vanderbilt, Jarred",Off,82,3390.0,0.1,115.1,115.1,0.0
18,On/Off Court,LAL,Los Angeles Lakers,"Vincent, Gabe",Off,82,3753.0,0.2,115.5,115.4,0.1
19,On/Off Court,LAL,Los Angeles Lakers,"Windler, Dylan",Off,25,1187.0,0.9,118.5,117.5,0.9
20,On/Off Court,LAL,Los Angeles Lakers,"Wood, Christian",Off,82,3099.0,0.7,116.0,115.4,0.6
