,GROUP_SET,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING
0,On/Off Court,MEM,Memphis Grizzlies,"Adams, Steven",Off,48,2314.0,-5.1,107.7,112.9,-5.2
1,On/Off Court,MEM,Memphis Grizzlies,"Aldama, Santi",Off,82,2338.0,-6.1,105.5,111.5,-6.0
2,On/Off Court,MEM,Memphis Grizzlies,"Allen, Timmy",Off,5,115.0,0.0,112.2,112.7,-0.5
3,On/Off Court,MEM,Memphis Grizzlies,"Bane, Desmond",Off,82,2513.0,-7.1,105.0,111.8,-6.8
4,On/Off Court,MEM,Memphis Grizzlies,"Biyombo, Bismack",Off,32,828.0,-3.9,104.2,108.5,-4.3
5,On/Off Court,MEM,Memphis Grizzlies,"Clarke, Brandon",Off,82,3822.0,-7.1,106.9,113.9,-7.0
6,On/Off Court,MEM,Memphis Grizzlies,"Evbuomwan, Tosan",Off,5,166.0,-16.5,104.0,119.8,-15.7
7,On/Off Court,MEM,Memphis Grizzlies,"Gabriel, Wenyen",Off,5,159.0,-8.5,112.9,122.5,-9.6
8,On/Off Court,MEM,Memphis Grizzlies,"Gilyard, Jacob",Off,57,2092.0,-4.2,107.1,111.2,-4.1
9,On/Off Court,MEM,Memphis Grizzlies,"Goodwin, Jordan",Off,28,857.0,-9.0,105.2,114.8,-9.5
10,On/Off Court,MEM,Memphis Grizzlies,"Harrison, Shaquille",Off,5,234.0,-2.3,106.4,109.4,-3.0
11,On/Off Court,MEM,Memphis Grizzlies,"Hurt, Matt",Off,11,420.0,-15.4,102.2,117.1,-14.9
12,On/Off Court,MEM,Memphis Grizzlies,"Jackson Jr., Jaren",Off,82,1832.0,-6.1,105.1,110.7,-5.5
13,On/Off Court,MEM,Memphis Grizzlies,"Jackson, GG",Off,82,2723.0,-6.7,107.0,113.6,-6.6
14,On/Off Court,MEM,Memphis Grizzlies,"Jarreau, DeJon",Off,9,287.0,-13.2,107.1,121.4,-14.3
15,On/Off Court,MEM,Memphis Grizzlies,"Jemison, Trey",Off,35,1118.0,-9.5,104.0,113.2,-9.1
16,On/Off Court,MEM,Memphis Grizzlies,"Kennard, Luke",Off,82,2957.0,-6.3,106.1,112.1,-6.0
17,On/Off Court,MEM,Memphis Grizzlies,"Konchar, John",Off,82,2782.0,-7.3,106.0,113.2,-7.2
18,On/Off Court,MEM,Memphis Grizzlies,"LaRavia, Jake",Off,82,3150.0,-7.0,106.6,113.6,-7.0
19,On/Off Court,MEM,Memphis Grizzlies,"Lofton Jr., Kenneth",Off,26,1154.0,-7.2,106.1,113.5,-7.4
20,On/Off Court,MEM,Memphis Grizzlies,"Morant, Ja",Off,82,3638.0,-7.7,106.1,113.7,-7.6
21,On/Off Court,MEM,Memphis Grizzlies,"Nowell, Jaylen",Off,9,276.0,-8.7,105.2,113.3,-8.1
22,On/Off Court,MEM,Memphis Grizzlies,"Oladipo, Victor",Off,3,144.0,-23.3,102.7,125.4,-22.7
23,On/Off Court,MEM,Memphis Grizzlies,"Pereira, Maozinha",Off,9,310.0,-13.1,108.9,122.9,-14.0
24,On/Off Court,MEM,Memphis Grizzlies,"Pippen Jr., Scotty",Off,42,1499.0,-9.7,105.0,114.4,-9.4
25,On/Off Court,MEM,Memphis Grizzlies,"Roddy, David",Off,52,1392.0,-3.9,108.0,111.4,-3.5
26,On/Off Court,MEM,Memphis Grizzlies,"Rose, Derrick",Off,82,3557.0,-7.3,106.9,114.0,-7.1
27,On/Off Court,MEM,Memphis Grizzlies,"Simpson, Zavier",Off,9,271.0,-6.4,108.3,114.4,-6.1
28,On/Off Court,MEM,Memphis Grizzlies,"Smart, Marcus",Off,82,3351.0,-7.9,106.1,114.3,-8.1
29,On/Off Court,MEM,Memphis Grizzlies,"Stevens, Lamar",Off,31,1061.0,-11.6,104.9,116.3,-11.4
30,On/Off Court,MEM,Memphis Grizzlies,"Tillman, Xavier",Off,51,1758.0,-5.9,108.4,114.2,-5.8
31,On/Off Court,MEM,Memphis Grizzlies,"Watanabe, Yuta",Off,30,1368.0,-7.7,105.7,113.2,-7.5
32,On/Off Court,MEM,Memphis Grizzlies,"White, Jack",Off,4,128.0,-6.4,110.1,115.2,-5.1
33,On/Off Court,MEM,Memphis Grizzlies,"Williams Jr., Vince",Off,82,2519.0,-9.2,104.8,113.6,-8.8
34,On/Off Court,MEM,Memphis Grizzlies,"Williams, Ziaire",Off,82,2918.0,-5.4,107.5,113.0,-5.4
