,GROUP_SET,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING
0,On/Off Court,MIA,Miami Heat,"Adebayo, Bam",Off,82,1535.0,2.9,115.3,111.0,4.3
1,On/Off Court,MIA,Miami Heat,"Bryant, Thomas",Off,82,3510.0,1.8,112.8,111.1,1.7
2,On/Off Court,MIA,Miami Heat,"Butler, Jimmy",Off,82,1909.0,-1.8,108.7,110.7,-2.0
3,On/Off Court,MIA,Miami Heat,"Cain, Jamal",Off,82,3692.0,2.2,113.7,111.4,2.2
4,On/Off Court,MIA,Miami Heat,"Hampton, R.J.",Off,52,2425.0,-0.7,112.8,113.4,-0.6
5,On/Off Court,MIA,Miami Heat,"Herro, Tyler",Off,82,2544.0,2.1,112.8,110.8,2.0
6,On/Off Court,MIA,Miami Heat,"Highsmith, Haywood",Off,82,2585.0,2.5,113.8,111.4,2.4
7,On/Off Court,MIA,Miami Heat,"Jaquez Jr., Jaime",Off,82,1838.0,0.9,111.0,109.8,1.2
8,On/Off Court,MIA,Miami Heat,"Jovic, Nikola",Off,82,3055.0,-0.1,111.9,111.9,0.0
9,On/Off Court,MIA,Miami Heat,"Love, Kevin",Off,82,3027.0,0.6,111.8,111.2,0.6
10,On/Off Court,MIA,Miami Heat,"Lowry, Kyle",Off,43,1032.0,-0.2,112.1,112.2,-0.1
11,On/Off Court,MIA,Miami Heat,"Martin, Caleb",Off,82,2194.0,1.7,111.9,110.3,1.6
12,On/Off Court,MIA,Miami Heat,"Mills, Patty",Off,21,805.0,2.9,110.9,108.6,2.4
13,On/Off Court,MIA,Miami Heat,"Richardson, Josh",Off,82,2848.0,4.2,114.1,109.9,4.3
14,On/Off Court,MIA,Miami Heat,"Robinson, Duncan",Off,82,2046.0,2.5,112.5,109.5,3.0
15,On/Off Court,MIA,Miami Heat,"Robinson, Orlando",Off,82,3647.0,1.7,113.1,111.3,1.8
16,On/Off Court,MIA,Miami Heat,"Rozier, Terry",Off,39,907.0,7.2,113.6,105.7,7.8
17,On/Off Court,MIA,Miami Heat,"Smith, Dru",Off,61,2802.0,1.6,114.2,112.6,1.6
18,On/Off Court,MIA,Miami Heat,"Swider, Cole",Off,82,3864.0,2.0,113.5,111.4,2.1
19,On/Off Court,MIA,Miami Heat,"Williams, Alondes",Off,30,1434.0,6.0,114.3,108.2,6.1
20,On/Off Court,MIA,Miami Heat,"Wright, Delon",Off,27,1020.0,3.3,111.4,108.3,3.2
