,GROUP_SET,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING
0,On/Off Court,MIL,Milwaukee Bucks,"Antetokounmpo, Giannis",Off,82,1394.0,-4.3,108.8,113.5,-4.6
1,On/Off Court,MIL,Milwaukee Bucks,"Antetokounmpo, Thanasis",Off,82,3806.0,3.2,118.3,114.9,3.3
2,On/Off Court,MIL,Milwaukee Bucks,"Beasley, Malik",Off,82,1624.0,-2.2,112.9,116.1,-3.2
3,On/Off Court,MIL,Milwaukee Bucks,"Beauchamp, MarJon",Off,82,3353.0,3.2,117.8,114.6,3.2
4,On/Off Court,MIL,Milwaukee Bucks,"Beverley, Patrick",Off,30,907.0,5.7,114.0,108.5,5.4
5,On/Off Court,MIL,Milwaukee Bucks,"Bolden, Marques",Off,36,1735.0,4.5,120.2,115.9,4.3
6,On/Off Court,MIL,Milwaukee Bucks,"Connaughton, Pat",Off,82,2285.0,4.8,117.1,112.3,4.7
7,On/Off Court,MIL,Milwaukee Bucks,"Crowder, Jae",Off,82,2805.0,4.9,118.4,114.1,4.3
8,On/Off Court,MIL,Milwaukee Bucks,"Gallinari, Danilo",Off,26,1103.0,3.7,116.4,112.7,3.7
9,On/Off Court,MIL,Milwaukee Bucks,"Galloway, Jaylin",Off,21,1018.0,-2.6,113.1,115.9,-2.8
10,On/Off Court,MIL,Milwaukee Bucks,"Green, AJ",Off,82,3347.0,2.4,117.5,115.3,2.3
11,On/Off Court,MIL,Milwaukee Bucks,"Jackson Jr., Andre",Off,82,3389.0,4.3,117.8,113.4,4.3
12,On/Off Court,MIL,Milwaukee Bucks,"Lillard, Damian",Off,82,1383.0,-6.0,111.9,117.8,-5.9
13,On/Off Court,MIL,Milwaukee Bucks,"Livingston, Chris",Off,82,3870.0,3.0,117.9,114.9,3.0
14,On/Off Court,MIL,Milwaukee Bucks,"Lopez, Brook",Off,82,1550.0,-2.0,114.8,116.6,-1.8
15,On/Off Court,MIL,Milwaukee Bucks,"Lopez, Robin",Off,52,2446.0,3.5,120.1,116.6,3.5
16,On/Off Court,MIL,Milwaukee Bucks,"Middleton, Khris",Off,82,2474.0,1.7,115.7,113.9,1.8
17,On/Off Court,MIL,Milwaukee Bucks,"Payne, Cameron",Off,52,1809.0,4.5,120.0,115.7,4.3
18,On/Off Court,MIL,Milwaukee Bucks,"Portis, Bobby",Off,82,1953.0,5.4,116.4,111.2,5.2
19,On/Off Court,MIL,Milwaukee Bucks,"Rollins, Ryan",Off,26,1246.0,1.2,114.7,113.3,1.4
20,On/Off Court,MIL,Milwaukee Bucks,"Washington Jr., TyTy",Off,82,3905.0,2.8,118.1,115.3,2.8
21,On/Off Court,MIL,Milwaukee Bucks,"Wigginton, Lindell",Off,36,1730.0,5.0,120.6,115.8,4.8
