,GROUP_SET,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING
0,On/Off Court,MIN,Minnesota Timberwolves,"Alexander-Walker, Nickeil",Off,82,2040.0,5.1,112.9,108.3,4.6
1,On/Off Court,MIN,Minnesota Timberwolves,"Anderson, Kyle",Off,82,2179.0,8.0,115.6,108.2,7.4
2,On/Off Court,MIN,Minnesota Timberwolves,"Brown Jr., Troy",Off,52,2101.0,7.5,114.9,107.4,7.4
3,On/Off Court,MIN,Minnesota Timberwolves,"Clark, Jaylen",Off,82,3961.0,6.4,114.6,108.4,6.3
4,On/Off Court,MIN,Minnesota Timberwolves,"Conley, Mike",Off,82,1768.0,6.9,112.7,105.5,7.2
5,On/Off Court,MIN,Minnesota Timberwolves,"Edwards, Anthony",Off,82,1191.0,3.9,109.1,105.7,3.4
6,On/Off Court,MIN,Minnesota Timberwolves,"Garza, Luka",Off,82,3839.0,6.5,114.7,108.2,6.5
7,On/Off Court,MIN,Minnesota Timberwolves,"Gobert, Rudy",Off,82,1368.0,4.1,110.3,107.3,3.0
8,On/Off Court,MIN,Minnesota Timberwolves,"Jackson, Justin",Off,5,244.0,4.7,109.5,105.6,3.9
9,On/Off Court,MIN,Minnesota Timberwolves,"McDaniels, Jaden",Off,82,1856.0,9.6,112.7,103.8,8.9
10,On/Off Court,MIN,Minnesota Timberwolves,"McLaughlin, Jordan",Off,82,3335.0,5.4,114.7,109.5,5.2
11,On/Off Court,MIN,Minnesota Timberwolves,"Miller, Leonard",Off,82,3909.0,6.4,114.7,108.4,6.3
12,On/Off Court,MIN,Minnesota Timberwolves,"Milton, Shake",Off,52,2020.0,8.5,116.2,107.8,8.5
13,On/Off Court,MIN,Minnesota Timberwolves,"Minott, Josh",Off,82,3870.0,6.3,114.8,108.5,6.3
14,On/Off Court,MIN,Minnesota Timberwolves,"Moore Jr., Wendell",Off,82,3886.0,6.6,114.9,108.3,6.5
15,On/Off Court,MIN,Minnesota Timberwolves,"Morris, Monte",Off,30,1042.0,5.2,113.1,108.4,4.7
16,On/Off Court,MIN,Minnesota Timberwolves,"Nix, Daishen",Off,82,3911.0,6.1,114.5,108.4,6.1
17,On/Off Court,MIN,Minnesota Timberwolves,"Reid, Naz",Off,82,1997.0,6.8,115.0,108.2,6.7
18,On/Off Court,MIN,Minnesota Timberwolves,"Towns, Karl-Anthony",Off,82,1935.0,5.2,110.1,104.7,5.4
19,On/Off Court,MIN,Minnesota Timberwolves,"Warren, T.J.",Off,20,840.0,2.9,113.9,111.1,2.8
