,GROUP_SET,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING
0,On/Off Court,NOP,New Orleans Pelicans,"Alvarado, Jose",Off,82,2913.0,2.0,115.1,113.1,2.0
1,On/Off Court,NOP,New Orleans Pelicans,"Brockington, Izaiah",Off,3,141.0,20.1,121.4,100.7,20.7
2,On/Off Court,NOP,New Orleans Pelicans,"Crutcher, Jalen",Off,6,285.0,7.2,115.1,107.2,7.8
3,On/Off Court,NOP,New Orleans Pelicans,"Daniels, Dyson",Off,82,2582.0,5.4,115.5,110.3,5.2
4,On/Off Court,NOP,New Orleans Pelicans,"Gates, Kaiser",Off,5,233.0,0.6,107.7,107.1,0.6
5,On/Off Court,NOP,New Orleans Pelicans,"Hawkins, Jordan",Off,82,2780.0,6.0,116.3,109.7,6.6
6,On/Off Court,NOP,New Orleans Pelicans,"Hill, Malcolm",Off,32,1536.0,4.7,115.8,111.0,4.7
7,On/Off Court,NOP,New Orleans Pelicans,"Ingram, Brandon",Off,82,1838.0,4.9,114.2,109.3,4.9
8,On/Off Court,NOP,New Orleans Pelicans,"Jones, Herbert",Off,82,1620.0,3.9,113.1,110.1,3.1
9,On/Off Court,NOP,New Orleans Pelicans,"Lewis Jr., Kira",Off,42,1877.0,5.7,118.7,112.9,5.8
10,On/Off Court,NOP,New Orleans Pelicans,"Liddell, E.J.",Off,82,3918.0,4.5,116.6,111.9,4.7
11,On/Off Court,NOP,New Orleans Pelicans,"Marshall, Naji",Off,82,2684.0,2.8,115.2,112.7,2.5
12,On/Off Court,NOP,New Orleans Pelicans,"McCollum, CJ",Off,82,1782.0,4.5,114.1,108.6,5.5
13,On/Off Court,NOP,New Orleans Pelicans,"Murphy III, Trey",Off,82,2251.0,2.1,115.4,113.2,2.3
14,On/Off Court,NOP,New Orleans Pelicans,"Nance Jr., Larry",Off,82,2725.0,5.1,117.0,112.0,5.0
15,On/Off Court,NOP,New Orleans Pelicans,"Robinson-Earl, Jeremiah",Off,77,3367.0,5.5,117.8,112.3,5.5
16,On/Off Court,NOP,New Orleans Pelicans,"Ryan, Matt",Off,82,3551.0,4.7,117.1,112.2,4.9
17,On/Off Court,NOP,New Orleans Pelicans,"Seabron, Dereon",Off,82,3886.0,4.1,116.4,112.2,4.3
18,On/Off Court,NOP,New Orleans Pelicans,"Valanciunas, Jonas",Off,82,2016.0,4.9,113.0,107.9,5.1
19,On/Off Court,NOP,New Orleans Pelicans,"Williamson, Zion",Off,82,1734.0,6.1,114.7,108.2,6.6
20,On/Off Court,NOP,New Orleans Pelicans,"Zeller, Cody",Off,82,3621.0,4.2,116.4,111.9,4.5
