,GROUP_SET,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING
0,On/Off Court,NYK,New York Knicks,"Achiuwa, Precious",Off,51,1271.0,11.7,120.2,108.5,11.8
1,On/Off Court,NYK,New York Knicks,"Anunoby, OG",Off,51,1656.0,-1.1,114.1,115.0,-0.9
2,On/Off Court,NYK,New York Knicks,"Arcidiacono, Ryan",Off,51,2403.0,5.9,118.8,112.6,6.2
3,On/Off Court,NYK,New York Knicks,"Barrett, RJ",Off,31,721.0,5.1,116.4,111.6,4.8
4,On/Off Court,NYK,New York Knicks,"Bogdanovic, Bojan",Off,31,941.0,8.8,119.7,110.1,9.6
5,On/Off Court,NYK,New York Knicks,"Brown Jr., Charlie",Off,82,3909.0,4.7,117.4,112.4,4.9
6,On/Off Court,NYK,New York Knicks,"Brunson, Jalen",Off,82,1220.0,-5.4,104.2,109.0,-4.8
7,On/Off Court,NYK,New York Knicks,"Burks, Alec",Off,31,1187.0,6.0,118.3,111.3,6.9
8,On/Off Court,NYK,New York Knicks,"DiVincenzo, Donte",Off,82,1586.0,6.5,113.5,106.9,6.6
9,On/Off Court,NYK,New York Knicks,"Diakite, Mamadi",Off,17,818.0,7.2,120.3,112.6,7.6
10,On/Off Court,NYK,New York Knicks,"Flynn, Malachi",Off,20,899.0,12.9,121.6,107.9,13.7
11,On/Off Court,NYK,New York Knicks,"Fournier, Evan",Off,51,2409.0,6.2,118.4,112.0,6.4
12,On/Off Court,NYK,New York Knicks,"Gibson, Taj",Off,21,843.0,2.6,121.1,118.8,2.3
13,On/Off Court,NYK,New York Knicks,"Grimes, Quentin",Off,51,1538.0,9.1,121.2,112.6,8.7
14,On/Off Court,NYK,New York Knicks,"Hart, Josh",Off,81,1239.0,1.2,114.4,113.1,1.3
15,On/Off Court,NYK,New York Knicks,"Hartenstein, Isaiah",Off,82,2050.0,-0.7,111.9,112.1,-0.2
16,On/Off Court,NYK,New York Knicks,"Jeffries, DaQuan",Off,55,2604.0,2.8,118.0,114.8,3.1
17,On/Off Court,NYK,New York Knicks,"Martin, Jaylen",Off,11,528.0,2.7,122.6,119.7,2.8
18,On/Off Court,NYK,New York Knicks,"McBride, Miles",Off,81,2618.0,7.2,119.2,112.3,7.0
19,On/Off Court,NYK,New York Knicks,"Milton, Shake",Off,21,991.0,6.8,117.4,109.8,7.6
20,On/Off Court,NYK,New York Knicks,"Quickley, Immanuel",Off,31,768.0,-3.8,113.9,117.8,-4.0
21,On/Off Court,NYK,New York Knicks,"Randle, Julius",Off,82,2316.0,3.3,114.5,110.4,4.1
22,On/Off Court,NYK,New York Knicks,"Robinson, Mitchell",Off,82,3178.0,5.5,116.6,110.9,5.7
23,On/Off Court,NYK,New York Knicks,"Sims, Jericho",Off,82,3361.0,5.5,118.2,112.3,5.8
24,On/Off Court,NYK,New York Knicks,"Skapintsev, Dmytro",Off,6,286.0,-6.4,117.0,123.1,-6.1
25,On/Off Court,NYK,New York Knicks,"Toppin, Jacob",Off,82,3908.0,4.8,117.4,112.3,5.1
26,On/Off Court,NYK,New York Knicks,"Washington Jr., Duane",Off,64,3082.0,5.7,116.4,110.2,6.2
27,On/Off Court,NYK,New York Knicks,"Windler, Dylan",Off,22,1049.0,3.1,116.7,113.3,3.4
