,GROUP_SET,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING
0,On/Off Court,OKC,Oklahoma City Thunder,"Bertans, Davis",Off,51,2377.0,7.5,119.1,111.2,7.9
1,On/Off Court,OKC,Oklahoma City Thunder,"Biyombo, Bismack",Off,30,1372.0,8.8,117.9,109.6,8.3
2,On/Off Court,OKC,Oklahoma City Thunder,"Dieng, Ousmane",Off,82,3596.0,8.1,118.8,110.9,7.9
3,On/Off Court,OKC,Oklahoma City Thunder,"Dort, Luguentz",Off,82,1715.0,7.3,113.3,106.6,6.7
4,On/Off Court,OKC,Oklahoma City Thunder,"Flagler, Adam",Off,29,1383.0,8.1,116.8,109.3,7.5
5,On/Off Court,OKC,Oklahoma City Thunder,"Giddey, Josh",Off,82,1949.0,5.7,113.7,107.7,6.0
6,On/Off Court,OKC,Oklahoma City Thunder,"Gilgeous-Alexander, Shai",Off,82,1408.0,-0.2,111.6,111.7,-0.1
7,On/Off Court,OKC,Oklahoma City Thunder,"Hayward, Gordon",Off,31,1046.0,9.8,117.8,108.1,9.7
8,On/Off Court,OKC,Oklahoma City Thunder,"Holmgren, Chet",Off,82,1548.0,5.7,114.2,108.8,5.4
9,On/Off Court,OKC,Oklahoma City Thunder,"Joe, Isaiah",Off,82,2516.0,4.9,117.0,110.8,6.3
10,On/Off Court,OKC,Oklahoma City Thunder,"Johnson, Keyontae",Off,82,3895.0,7.6,118.6,111.1,7.5
11,On/Off Court,OKC,Oklahoma City Thunder,"Mann, Tre",Off,51,2349.0,8.2,119.9,111.5,8.4
12,On/Off Court,OKC,Oklahoma City Thunder,"Micic, Vasilije",Off,51,2107.0,6.5,119.1,112.4,6.7
13,On/Off Court,OKC,Oklahoma City Thunder,"Muscala, Mike",Off,23,1018.0,6.7,116.8,110.3,6.4
14,On/Off Court,OKC,Oklahoma City Thunder,"Pokusevski, Aleksej",Off,55,2600.0,8.2,119.8,111.4,8.4
15,On/Off Court,OKC,Oklahoma City Thunder,"Sarr, Olivier",Off,82,3863.0,7.5,118.5,111.1,7.5
16,On/Off Court,OKC,Oklahoma City Thunder,"Wallace, Cason",Off,82,2269.0,10.2,119.2,109.4,9.8
17,On/Off Court,OKC,Oklahoma City Thunder,"Waters III, Lindy",Off,82,3681.0,8.4,119.1,110.8,8.4
18,On/Off Court,OKC,Oklahoma City Thunder,"Wiggins, Aaron",Off,82,2733.0,9.0,118.2,110.2,8.0
19,On/Off Court,OKC,Oklahoma City Thunder,"Williams, Jalen",Off,82,1737.0,6.2,116.7,110.5,6.2
20,On/Off Court,OKC,Oklahoma City Thunder,"Williams, Jaylin",Off,82,3064.0,7.6,118.0,110.2,7.8
21,On/Off Court,OKC,Oklahoma City Thunder,"Williams, Kenrich",Off,82,2932.0,7.5,118.0,111.2,6.8
