,GROUP_SET,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING
0,On/Off Court,ORL,Orlando Magic,"Anthony, Cole",Off,82,2139.0,1.3,110.9,109.1,1.8
1,On/Off Court,ORL,Orlando Magic,"Banchero, Paolo",Off,82,1157.0,6.8,112.1,104.5,7.6
2,On/Off Court,ORL,Orlando Magic,"Bitadze, Goga",Off,82,2999.0,2.2,112.3,110.0,2.3
3,On/Off Court,ORL,Orlando Magic,"Black, Anthony",Off,82,2792.0,3.4,113.8,110.4,3.4
4,On/Off Court,ORL,Orlando Magic,"Carter Jr., Wendell",Off,82,2550.0,2.2,112.7,110.3,2.4
5,On/Off Court,ORL,Orlando Magic,"Fultz, Markelle",Off,82,3046.0,2.4,113.1,110.6,2.5
6,On/Off Court,ORL,Orlando Magic,"Harris, Gary",Off,82,2659.0,1.4,111.4,109.6,1.8
7,On/Off Court,ORL,Orlando Magic,"Harris, Kevon",Off,82,3950.0,2.0,112.9,110.7,2.1
8,On/Off Court,ORL,Orlando Magic,"Houstan, Caleb",Off,82,3141.0,3.0,113.0,110.1,2.9
9,On/Off Court,ORL,Orlando Magic,"Howard, Jett",Off,82,3889.0,2.0,113.1,111.1,2.1
10,On/Off Court,ORL,Orlando Magic,"Ingles, Joe",Off,82,2787.0,0.0,109.8,109.8,0.1
11,On/Off Court,ORL,Orlando Magic,"Isaac, Jonathan",Off,82,3041.0,-0.3,111.9,112.2,-0.3
12,On/Off Court,ORL,Orlando Magic,"Okeke, Chuma",Off,82,3524.0,3.2,114.1,110.9,3.3
13,On/Off Court,ORL,Orlando Magic,"Queen, Trevelin",Off,82,3791.0,2.2,113.0,110.7,2.3
14,On/Off Court,ORL,Orlando Magic,"Schofield, Admiral",Off,82,3872.0,2.2,113.3,111.0,2.3
15,On/Off Court,ORL,Orlando Magic,"Suggs, Jalen",Off,82,1931.0,3.0,111.3,108.5,2.8
16,On/Off Court,ORL,Orlando Magic,"Wagner, Franz",Off,82,1619.0,-1.1,110.3,112.0,-1.7
17,On/Off Court,ORL,Orlando Magic,"Wagner, Moritz",Off,82,2541.0,1.4,110.7,109.1,1.6
