,GROUP_SET,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING
0,On/Off Court,PHI,Philadelphia 76ers,"Bamba, Mo",Off,82,3216.0,4.4,117.3,112.7,4.6
1,On/Off Court,PHI,Philadelphia 76ers,"Batum, Nicolas",Off,79,2337.0,0.8,113.2,112.2,1.0
2,On/Off Court,PHI,Philadelphia 76ers,"Bazley, Darius",Off,4,182.0,-11.9,101.1,113.6,-12.5
3,On/Off Court,PHI,Philadelphia 76ers,"Beverley, Patrick",Off,50,1491.0,8.2,121.7,113.6,8.0
4,On/Off Court,PHI,Philadelphia 76ers,"Council IV, Ricky",Off,82,3667.0,3.1,116.3,113.1,3.2
5,On/Off Court,PHI,Philadelphia 76ers,"Covington, Robert",Off,79,3393.0,2.2,116.0,113.9,2.1
6,On/Off Court,PHI,Philadelphia 76ers,"Dowtin Jr., Jeff",Off,23,972.0,1.5,111.4,110.1,1.4
7,On/Off Court,PHI,Philadelphia 76ers,"Embiid, Joel",Off,82,2647.0,-0.3,113.9,114.1,-0.2
8,On/Off Court,PHI,Philadelphia 76ers,"Green, Danny",Off,3,126.0,13.0,118.3,104.5,13.8
9,On/Off Court,PHI,Philadelphia 76ers,"Harden, James",Off,3,144.0,11.3,118.6,107.7,10.9
10,On/Off Court,PHI,Philadelphia 76ers,"Harris, Tobias",Off,82,1588.0,0.8,112.0,110.7,1.3
11,On/Off Court,PHI,Philadelphia 76ers,"Hield, Buddy",Off,32,722.0,2.5,112.8,109.9,2.9
12,On/Off Court,PHI,Philadelphia 76ers,"House Jr., Danuel",Off,50,1901.0,5.6,120.3,114.3,6.0
13,On/Off Court,PHI,Philadelphia 76ers,"Jones, Kai",Off,5,240.0,2.4,108.7,106.4,2.3
14,On/Off Court,PHI,Philadelphia 76ers,"Korkmaz, Furkan",Off,50,2110.0,4.4,118.4,113.7,4.8
15,On/Off Court,PHI,Philadelphia 76ers,"Lofton Jr., Kenneth",Off,31,1484.0,-3.4,114.5,118.1,-3.6
16,On/Off Court,PHI,Philadelphia 76ers,"Lowry, Kyle",Off,29,749.0,1.2,110.7,109.5,1.2
17,On/Off Court,PHI,Philadelphia 76ers,"Martin, KJ",Off,79,3097.0,3.4,116.1,112.8,3.3
18,On/Off Court,PHI,Philadelphia 76ers,"Maxey, Tyrese",Off,82,1330.0,-1.9,109.3,109.7,-0.4
19,On/Off Court,PHI,Philadelphia 76ers,"Melton, De'Anthony",Off,82,2933.0,0.5,113.3,112.7,0.6
20,On/Off Court,PHI,Philadelphia 76ers,"Morris Sr., Marcus",Off,47,1629.0,6.3,119.7,112.8,6.9
21,On/Off Court,PHI,Philadelphia 76ers,"Oubre Jr., Kelly",Off,82,1901.0,6.9,116.4,109.5,6.9
22,On/Off Court,PHI,Philadelphia 76ers,"Payne, Cameron",Off,32,944.0,0.4,111.9,111.6,0.3
23,On/Off Court,PHI,Philadelphia 76ers,"Petrusev, Filip",Off,3,141.0,10.5,118.7,108.2,10.5
24,On/Off Court,PHI,Philadelphia 76ers,"Reed, Paul",Off,82,2366.0,3.1,114.6,111.3,3.3
25,On/Off Court,PHI,Philadelphia 76ers,"Smart, Javonte",Off,28,1348.0,11.4,121.5,110.0,11.6
26,On/Off Court,PHI,Philadelphia 76ers,"Smith, Terquavion",Off,82,3872.0,3.2,116.2,112.8,3.3
27,On/Off Court,PHI,Philadelphia 76ers,"Springer, Jaden",Off,50,2033.0,7.2,119.9,112.7,7.2
28,On/Off Court,PHI,Philadelphia 76ers,"Tucker, P.J.",Off,3,78.0,3.7,118.1,115.2,2.9
29,On/Off Court,PHI,Philadelphia 76ers,"Wilson, D.J.",Off,6,273.0,2.6,121.4,119.1,2.4
