,GROUP_SET,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING
0,On/Off Court,POR,Portland Trail Blazers,"Ayton, Deandre",Off,82,2193.0,-9.2,107.2,116.3,-9.1
1,On/Off Court,POR,Portland Trail Blazers,"Badji, Ibou",Off,68,3068.0,-7.9,109.2,117.1,-7.9
2,On/Off Court,POR,Portland Trail Blazers,"Banton, Dalano",Off,32,675.0,-6.0,106.2,111.6,-5.4
3,On/Off Court,POR,Portland Trail Blazers,"Bouyea, Jamaree",Off,6,231.0,-17.1,107.8,125.2,-17.4
4,On/Off Court,POR,Portland Trail Blazers,"Brogdon, Malcolm",Off,82,2855.0,-11.1,105.6,116.6,-11.1
5,On/Off Court,POR,Portland Trail Blazers,"Brown, Moses",Off,82,3776.0,-8.7,107.6,116.2,-8.7
6,On/Off Court,POR,Portland Trail Blazers,"Camara, Toumani",Off,82,2237.0,-11.8,106.6,118.8,-12.2
7,On/Off Court,POR,Portland Trail Blazers,"Grant, Jerami",Off,82,2146.0,-8.7,106.3,114.9,-8.6
8,On/Off Court,POR,Portland Trail Blazers,"Hagans, Ashton",Off,32,1235.0,-12.5,104.9,117.3,-12.4
9,On/Off Court,POR,Portland Trail Blazers,"Henderson, Scoot",Off,82,2211.0,-5.3,107.4,112.7,-5.3
10,On/Off Court,POR,Portland Trail Blazers,"Mays, Skylar",Off,34,1291.0,-6.4,108.4,115.0,-6.6
11,On/Off Court,POR,Portland Trail Blazers,"Minaya, Justin",Off,82,3595.0,-8.8,108.2,117.1,-8.9
12,On/Off Court,POR,Portland Trail Blazers,"Moore, Taze",Off,7,301.0,-5.6,110.8,115.6,-4.8
13,On/Off Court,POR,Portland Trail Blazers,"Murray, Kris",Off,82,2628.0,-10.5,107.5,118.1,-10.5
14,On/Off Court,POR,Portland Trail Blazers,"Reath, Duop",Off,82,2762.0,-9.6,105.6,115.2,-9.7
15,On/Off Court,POR,Portland Trail Blazers,"Rupert, Rayan",Off,82,3343.0,-8.8,107.9,116.8,-8.9
16,On/Off Court,POR,Portland Trail Blazers,"Sharpe, Shaedon",Off,82,2917.0,-8.1,107.9,116.1,-8.2
17,On/Off Court,POR,Portland Trail Blazers,"Simons, Anfernee",Off,82,2394.0,-8.2,104.9,113.3,-8.3
18,On/Off Court,POR,Portland Trail Blazers,"Thybulle, Matisse",Off,82,2489.0,-9.8,106.3,116.1,-9.8
19,On/Off Court,POR,Portland Trail Blazers,"Wainright, Ish",Off,34,1601.0,-7.9,108.9,117.0,-8.1
20,On/Off Court,POR,Portland Trail Blazers,"Walker, Jabari",Off,82,2275.0,-8.5,106.6,114.9,-8.3
21,On/Off Court,POR,Portland Trail Blazers,"Williams III, Robert",Off,82,3857.0,-8.8,107.7,116.7,-8.9
