,GROUP_SET,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING
0,On/Off Court,SAC,Sacramento Kings,"Barnes, Harrison",Off,82,1590.0,6.7,116.4,109.3,7.1
1,On/Off Court,SAC,Sacramento Kings,"Duarte, Chris",Off,82,3251.0,3.1,116.6,113.8,2.8
2,On/Off Court,SAC,Sacramento Kings,"Edwards, Kessler",Off,82,3696.0,2.4,117.1,114.7,2.4
3,On/Off Court,SAC,Sacramento Kings,"Ellis, Keon",Off,82,2993.0,0.8,115.4,114.7,0.7
4,On/Off Court,SAC,Sacramento Kings,"Ford, Jordan",Off,82,3949.0,1.6,116.1,114.4,1.7
5,On/Off Court,SAC,Sacramento Kings,"Fox, De'Aaron",Off,82,1312.0,-3.3,110.0,113.0,-3.1
6,On/Off Court,SAC,Sacramento Kings,"Huerter, Kevin",Off,82,2409.0,1.4,113.7,112.0,1.6
7,On/Off Court,SAC,Sacramento Kings,"Jones, Colby",Off,82,3779.0,1.7,116.6,114.7,1.9
8,On/Off Court,SAC,Sacramento Kings,"Jones, Mason",Off,31,1470.0,3.6,115.3,111.6,3.7
9,On/Off Court,SAC,Sacramento Kings,"Len, Alex",Off,82,3527.0,0.0,115.5,115.5,-0.1
10,On/Off Court,SAC,Sacramento Kings,"Lyles, Trey",Off,82,2813.0,-0.6,114.1,114.8,-0.7
11,On/Off Court,SAC,Sacramento Kings,"McGee, JaVale",Off,82,3632.0,1.8,116.3,114.4,1.9
12,On/Off Court,SAC,Sacramento Kings,"Mitchell, Davion",Off,82,2870.0,3.1,116.5,113.3,3.2
13,On/Off Court,SAC,Sacramento Kings,"Monk, Malik",Off,82,2099.0,3.0,114.9,111.2,3.6
14,On/Off Court,SAC,Sacramento Kings,"Murray, Keegan",Off,82,1382.0,0.2,112.8,112.4,0.4
15,On/Off Court,SAC,Sacramento Kings,"Petrusev, Filip",Off,11,526.0,-1.1,113.7,114.9,-1.2
16,On/Off Court,SAC,Sacramento Kings,"Sabonis, Domantas",Off,82,1043.0,3.4,111.8,107.8,4.0
17,On/Off Court,SAC,Sacramento Kings,"Slawson, Jalen",Off,82,3934.0,1.8,116.2,114.4,1.9
18,On/Off Court,SAC,Sacramento Kings,"Toscano-Anderson, Juan",Off,18,826.0,1.6,119.9,118.4,1.6
19,On/Off Court,SAC,Sacramento Kings,"Vezenkov, Sasha",Off,82,3460.0,2.0,115.9,114.0,1.9
