,GROUP_SET,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING
0,On/Off Court,SAS,San Antonio Spurs,"Barlow, Dominick",Off,82,3546.0,-6.8,108.3,114.8,-6.6
1,On/Off Court,SAS,San Antonio Spurs,"Bassey, Charles",Off,82,3761.0,-6.2,109.3,115.3,-6.0
2,On/Off Court,SAS,San Antonio Spurs,"Bediako, Charles",Off,30,1450.0,-11.4,107.1,118.4,-11.3
3,On/Off Court,SAS,San Antonio Spurs,"Bouyea, Jamaree",Off,22,1038.0,-1.9,108.7,110.6,-1.9
4,On/Off Court,SAS,San Antonio Spurs,"Branham, Malaki",Off,82,2372.0,-3.2,109.7,113.1,-3.4
5,On/Off Court,SAS,San Antonio Spurs,"Champagnie, Julian",Off,82,2498.0,-7.5,107.7,115.1,-7.4
6,On/Off Court,SAS,San Antonio Spurs,"Cissoko, Sidy",Off,82,3825.0,-7.0,109.2,116.2,-7.0
7,On/Off Court,SAS,San Antonio Spurs,"Collins, Zach",Off,82,2440.0,-2.7,110.2,112.8,-2.6
8,On/Off Court,SAS,San Antonio Spurs,"Diakite, Mamadi",Off,28,1328.0,-4.3,111.9,116.1,-4.2
9,On/Off Court,SAS,San Antonio Spurs,"Duke Jr., David",Off,59,2801.0,-4.6,110.3,114.9,-4.6
10,On/Off Court,SAS,San Antonio Spurs,"Graham, Devonte'",Off,82,3653.0,-7.3,109.0,116.2,-7.2
11,On/Off Court,SAS,San Antonio Spurs,"Gray, RaiQuan",Off,22,1037.0,-2.2,108.0,110.3,-2.3
12,On/Off Court,SAS,San Antonio Spurs,"Johnson, Keldon",Off,82,1928.0,-4.6,107.6,112.3,-4.7
13,On/Off Court,SAS,San Antonio Spurs,"Jones, Tre",Off,82,1828.0,-13.4,104.4,117.2,-12.8
14,On/Off Court,SAS,San Antonio Spurs,"Mamukelashvili, Sandro",Off,82,3515.0,-7.9,109.3,117.1,-7.8
15,On/Off Court,SAS,San Antonio Spurs,"McDermott, Doug",Off,52,1806.0,-7.9,108.4,115.9,-7.4
16,On/Off Court,SAS,San Antonio Spurs,"Morris Sr., Marcus",Off,7,336.0,-3.4,110.2,113.0,-2.8
17,On/Off Court,SAS,San Antonio Spurs,"Osman, Cedi",Off,82,2697.0,-3.2,109.4,112.5,-3.1
18,On/Off Court,SAS,San Antonio Spurs,"Rice, Sir'Jabari",Off,23,1114.0,-11.5,106.0,117.4,-11.4
19,On/Off Court,SAS,San Antonio Spurs,"Sochan, Jeremy",Off,82,1773.0,-5.1,108.2,113.7,-5.5
20,On/Off Court,SAS,San Antonio Spurs,"Vassell, Devin",Off,82,1718.0,-6.7,107.9,114.9,-7.0
21,On/Off Court,SAS,San Antonio Spurs,"Wembanyama, Victor",Off,82,1860.0,-10.0,107.5,117.3,-9.8
22,On/Off Court,SAS,San Antonio Spurs,"Wesley, Blake",Off,82,3090.0,-6.0,109.5,115.5,-6.0
