,GROUP_SET,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING
0,On/Off Court,TOR,Toronto Raptors,"Achiuwa, Precious",Off,31,1061.0,0.5,113.9,113.5,0.3
1,On/Off Court,TOR,Toronto Raptors,"Agbaji, Ochai",Off,31,855.0,-13.0,104.7,117.2,-12.5
2,On/Off Court,TOR,Toronto Raptors,"Anunoby, OG",Off,31,598.0,-6.3,108.7,115.0,-6.3
3,On/Off Court,TOR,Toronto Raptors,"Barnes, Scottie",Off,82,1867.0,-9.9,107.7,117.8,-10.1
4,On/Off Court,TOR,Toronto Raptors,"Barrett, RJ",Off,51,1391.0,-12.1,106.8,119.4,-12.6
5,On/Off Court,TOR,Toronto Raptors,"Boucher, Chris",Off,82,3256.0,-8.2,110.2,118.3,-8.1
6,On/Off Court,TOR,Toronto Raptors,"Brown, Bruce",Off,41,1098.0,-7.3,108.1,116.1,-7.9
7,On/Off Court,TOR,Toronto Raptors,"Carton, D.J.",Off,27,1265.0,-10.7,108.4,118.8,-10.4
8,On/Off Court,TOR,Toronto Raptors,"Dick, Gradey",Off,82,2693.0,-2.7,113.3,116.2,-2.9
9,On/Off Court,TOR,Toronto Raptors,"Flynn, Malachi",Off,31,1024.0,1.2,114.5,113.4,1.1
10,On/Off Court,TOR,Toronto Raptors,"Freeman-Liberty, Javon",Off,82,3558.0,-5.0,112.4,117.4,-5.0
11,On/Off Court,TOR,Toronto Raptors,"Gueye, Mouhamadou",Off,24,1037.0,-13.9,107.8,121.5,-13.7
12,On/Off Court,TOR,Toronto Raptors,"Harper Jr., Ron",Off,21,1014.0,-1.2,111.1,112.4,-1.3
13,On/Off Court,TOR,Toronto Raptors,"Koloko, Christian",Off,41,1978.0,-1.2,115.3,116.3,-1.0
14,On/Off Court,TOR,Toronto Raptors,"Lewis Jr., Kira",Off,10,488.0,-11.3,111.3,123.2,-12.0
15,On/Off Court,TOR,Toronto Raptors,"McDaniels, Jalen",Off,82,3423.0,-5.1,112.9,118.0,-5.1
16,On/Off Court,TOR,Toronto Raptors,"Nowell, Markquis",Off,61,2944.0,-3.3,113.9,117.1,-3.2
17,On/Off Court,TOR,Toronto Raptors,"Nwora, Jordan",Off,41,1454.0,-9.8,110.4,119.8,-9.4
18,On/Off Court,TOR,Toronto Raptors,"Olynyk, Kelly",Off,31,754.0,-10.0,103.4,113.0,-9.6
19,On/Off Court,TOR,Toronto Raptors,"Poeltl, Jakob",Off,82,2642.0,-9.3,109.5,118.7,-9.2
20,On/Off Court,TOR,Toronto Raptors,"Porter Jr., Otto",Off,51,2294.0,-4.0,114.4,118.1,-3.8
21,On/Off Court,TOR,Toronto Raptors,"Porter, Jontay",Off,60,2535.0,-7.9,112.4,119.9,-7.6
22,On/Off Court,TOR,Toronto Raptors,"Quickley, Immanuel",Off,51,1198.0,-13.3,108.0,120.7,-12.7
23,On/Off Court,TOR,Toronto Raptors,"Ramsey, Jahmi'us",Off,10,364.0,-16.8,102.7,120.1,-17.4
24,On/Off Court,TOR,Toronto Raptors,"Schroder, Dennis",Off,51,909.0,-7.3,110.2,116.6,-6.4
25,On/Off Court,TOR,Toronto Raptors,"Siakam, Pascal",Off,41,624.0,-4.5,111.7,114.9,-3.2
26,On/Off Court,TOR,Toronto Raptors,"Simmons, Kobi",Off,4,125.0,-20.4,114.2,135.7,-21.5
27,On/Off Court,TOR,Toronto Raptors,"Temple, Garrett",Off,82,3672.0,-5.9,112.5,118.2,-5.7
28,On/Off Court,TOR,Toronto Raptors,"Trent Jr., Gary",Off,82,1967.0,-8.1,107.7,115.3,-7.6
29,On/Off Court,TOR,Toronto Raptors,"Williams, Malik",Off,7,229.0,-7.5,112.3,119.0,-6.8
30,On/Off Court,TOR,Toronto Raptors,"Winslow, Justise",Off,3,144.0,-16.3,103.9,119.9,-16.0
31,On/Off Court,TOR,Toronto Raptors,"Young, Thaddeus",Off,51,2118.0,-3.2,113.4,116.3,-2.8
