,GROUP_SET,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING
0,On/Off Court,UTA,Utah Jazz,"Agbaji, Ochai",Off,52,1518.0,0.8,117.2,117.0,0.2
1,On/Off Court,UTA,Utah Jazz,"Bazley, Darius",Off,18,722.0,-11.8,109.3,121.0,-11.7
2,On/Off Court,UTA,Utah Jazz,"Christopher, Josh",Off,38,1844.0,-3.6,113.2,116.9,-3.7
3,On/Off Court,UTA,Utah Jazz,"Clarkson, Jordan",Off,82,2279.0,-4.4,113.8,118.2,-4.4
4,On/Off Court,UTA,Utah Jazz,"Collins, John",Off,82,2060.0,-2.2,113.0,115.1,-2.1
5,On/Off Court,UTA,Utah Jazz,"Dunn, Kris",Off,82,2712.0,-7.3,111.6,119.6,-7.9
6,On/Off Court,UTA,Utah Jazz,"Fontecchio, Simone",Off,52,1361.0,-3.7,113.7,117.3,-3.6
7,On/Off Court,UTA,Utah Jazz,"George, Keyonte",Off,82,1938.0,-0.7,117.4,118.5,-1.1
8,On/Off Court,UTA,Utah Jazz,"Hendricks, Taylor",Off,82,3105.0,-3.9,115.1,119.4,-4.2
9,On/Off Court,UTA,Utah Jazz,"Horton-Tucker, Talen",Off,82,2952.0,-4.8,114.3,119.3,-5.0
10,On/Off Court,UTA,Utah Jazz,"Juzang, Johnny",Off,82,3589.0,-5.3,114.3,119.7,-5.4
11,On/Off Court,UTA,Utah Jazz,"Kessler, Walker",Off,82,2468.0,-4.9,114.6,119.7,-5.1
12,On/Off Court,UTA,Utah Jazz,"Knox II, Kevin",Off,1,48.0,-14.0,111.7,126.5,-14.8
13,On/Off Court,UTA,Utah Jazz,"Lewis Jr., Kira",Off,30,1321.0,-9.5,112.7,122.4,-9.7
14,On/Off Court,UTA,Utah Jazz,"Lofton Jr., Kenneth",Off,18,773.0,-12.9,109.6,122.3,-12.7
15,On/Off Court,UTA,Utah Jazz,"Markkanen, Lauri",Off,82,2141.0,-9.5,109.9,119.4,-9.5
16,On/Off Court,UTA,Utah Jazz,"Olynyk, Kelly",Off,52,1502.0,-1.2,115.6,116.2,-0.5
17,On/Off Court,UTA,Utah Jazz,"Porter Jr., Otto",Off,12,576.0,-8.0,114.9,123.0,-8.2
18,On/Off Court,UTA,Utah Jazz,"Potter, Micah",Off,82,3775.0,-4.7,114.8,119.7,-4.9
19,On/Off Court,UTA,Utah Jazz,"Preston, Jason",Off,44,2046.0,-6.7,115.4,122.4,-7.0
20,On/Off Court,UTA,Utah Jazz,"Samanic, Luka",Off,82,3557.0,-4.7,115.1,120.1,-5.0
21,On/Off Court,UTA,Utah Jazz,"Sensabaugh, Brice",Off,82,3377.0,-3.2,114.9,118.5,-3.5
22,On/Off Court,UTA,Utah Jazz,"Sexton, Collin",Off,82,1886.0,-6.6,109.0,115.8,-6.8
23,On/Off Court,UTA,Utah Jazz,"Yurtseven, Omer",Off,82,3416.0,-3.8,115.6,119.5,-3.9
