,GROUP_SET,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING
0,On/Off Court,WAS,Washington Wizards,"Avdija, Deni",Off,82,1689.0,-12.3,107.0,119.1,-12.0
1,On/Off Court,WAS,Washington Wizards,"Bagley III, Marvin",Off,44,1547.0,-10.2,108.3,117.6,-9.3
2,On/Off Court,WAS,Washington Wizards,"Baldwin Jr., Patrick",Off,82,3452.0,-10.3,110.0,119.8,-9.8
3,On/Off Court,WAS,Washington Wizards,"Bernard, Jules",Off,62,2837.0,-10.6,109.1,119.0,-9.9
4,On/Off Court,WAS,Washington Wizards,"Butler Jr., John",Off,20,960.0,-8.2,112.9,120.6,-7.7
5,On/Off Court,WAS,Washington Wizards,"Butler, Jared",Off,82,3380.0,-10.1,110.1,119.8,-9.6
6,On/Off Court,WAS,Washington Wizards,"Champagnie, Justin",Off,28,1119.0,-9.1,108.4,117.2,-8.8
7,On/Off Court,WAS,Washington Wizards,"Coulibaly, Bilal",Off,82,2231.0,-7.4,110.8,118.0,-7.2
8,On/Off Court,WAS,Washington Wizards,"Davis, Johnny",Off,82,3333.0,-8.8,110.6,119.0,-8.4
9,On/Off Court,WAS,Washington Wizards,"Diallo, Hamidou",Off,4,187.0,0.0,113.4,112.8,0.6
10,On/Off Court,WAS,Washington Wizards,"Gafford, Daniel",Off,50,1208.0,-11.1,106.9,117.1,-10.2
11,On/Off Court,WAS,Washington Wizards,"Gallinari, Danilo",Off,38,1439.0,-9.8,111.7,120.4,-8.8
12,On/Off Court,WAS,Washington Wizards,"Gill, Anthony",Off,82,3480.0,-10.6,109.4,119.4,-10.0
13,On/Off Court,WAS,Washington Wizards,"Hampton, R.J.",Off,5,240.0,-4.0,109.3,113.1,-3.8
14,On/Off Court,WAS,Washington Wizards,"Holmes, Richaun",Off,32,1228.0,-9.4,107.5,116.2,-8.7
15,On/Off Court,WAS,Washington Wizards,"Jemison, Trey",Off,6,287.0,-3.9,110.9,113.8,-2.8
16,On/Off Court,WAS,Washington Wizards,"Jones, Tyus",Off,82,2013.0,-6.3,108.0,113.8,-5.8
17,On/Off Court,WAS,Washington Wizards,"Kispert, Corey",Off,82,1879.0,-8.1,108.9,116.4,-7.5
18,On/Off Court,WAS,Washington Wizards,"Kuzma, Kyle",Off,82,1665.0,-5.8,108.5,114.1,-5.6
19,On/Off Court,WAS,Washington Wizards,"Livers, Isaiah",Off,39,1882.0,-9.1,108.2,116.7,-8.6
20,On/Off Court,WAS,Washington Wizards,"Muscala, Mike",Off,38,1486.0,-7.6,113.2,120.4,-7.2
21,On/Off Court,WAS,Washington Wizards,"Omoruyi, Eugene",Off,82,3553.0,-8.4,110.9,119.0,-8.0
22,On/Off Court,WAS,Washington Wizards,"Poole, Jordan",Off,82,1600.0,-6.3,109.2,115.2,-6.0
23,On/Off Court,WAS,Washington Wizards,"Rollins, Ryan",Off,36,1662.0,-12.9,111.2,123.5,-12.3
24,On/Off Court,WAS,Washington Wizards,"Shamet, Landry",Off,82,3220.0,-9.1,109.7,118.2,-8.5
25,On/Off Court,WAS,Washington Wizards,"Vukcevic, Tristan",Off,17,668.0,-12.5,108.6,120.4,-11.8
26,On/Off Court,WAS,Washington Wizards,"Wright, Delon",Off,54,2136.0,-9.9,111.2,120.5,-9.3
